gene,target,NDE,NDE_p,NIE,NIE_p,prop_med
MFAP2,MFAP2,17.318394966543018,0.0011107320514096445,-0.057380274062561396,0.840336477928728,-0.003324270043496249
HPCAL1,HPCL1,16.861790703854265,0.0014375488625110492,-0.0523010404102048,0.8418273769178584,-0.0031113996592023216
IL17A,IL-17,17.154790801529952,0.0011776565677679095,-0.03263717465861295,0.8472217018968606,-0.0019061372400836591
ICT1,ICT1,16.663181940932937,0.0015502744113726843,-0.06346578984195884,0.8704141098617203,-0.003823305727898709
CTLA4,CTLA-4,17.00800164154488,0.0012694501661782679,0.04368234698592831,0.8710815953490952,0.002561761466803492
SPINK6,ISK6,16.969811804940235,0.0014670297536202763,0.03891071353068858,0.87436220667745,0.002287691711616366
SPR,SPRE,17.184920479707436,0.0011465801181155478,-0.020654524673082205,0.8783452977661432,-0.0012033444790002302
FASLG,"Fas ligand, soluble",17.39117641310389,8.01880653040568e-4,-0.09305286593242029,0.8785503143317714,-0.005379361852669621
CARD18,ICBR,17.20323346312741,0.0011717450511330963,-0.01919879868613258,0.8883263818065292,-0.0011172462731270224
VAPB,VAPB,17.22977640311824,0.0014820516823447112,-0.08588964727380706,0.8889860779526173,-0.0050099285242027666
HSPH1,HS105,17.097669094619494,0.0011895453006306005,-0.030337923653937744,0.8962258630349454,-0.0017775435040217496
VAT1,VAT1,17.221589253868974,0.001078289201416577,-0.05134269682222937,0.89839757980869,-0.002990213137105949
SFXN5,SFXN5,17.047777994897512,0.0011134446153189166,0.03931745406329434,0.9115668077591634,0.00230100277608536
JUND,jun-D,17.118486526280375,0.0014229880120913182,-0.06571925596630988,0.911859968926201,-0.003853876319576343
IL10,IL-10,17.182275928009716,0.001141368852609927,0.01600440806148496,0.9241460959829143,9.305818807894273e-4
LAMA2 LAMB1 LAMC1,Laminin-2,17.224397458604766,0.0011516001935194659,-0.026713662294402234,0.9303441921523871,-0.0015533290767989032
PCDHB1,PCDB1,17.265445138183583,0.001194911347856853,0.04624210273450272,0.9365197334787205,0.0026711493854397047
DKK3,DKK3,16.832108021577582,0.0017969447176918445,0.0635647908151174,0.9409055029004728,0.0037621935226215828
ST8SIA2,SIA8B,17.149419679749585,0.0011587963436309422,-0.006499668379398507,0.9488327704651536,-3.791459316783574e-4
ANGPTL4,ANGL4,17.0170040217688,0.0012587524161405193,-0.009279380747337373,0.953102092675191,-5.455980116797132e-4
PREP,PPCE,17.155707621029265,0.0011698581735260659,-0.015292559706534302,0.9595220560685724,-8.921930800288433e-4
SIGIRR,SIGIRR,17.186631571308833,0.001135556363440367,0.007972304559705701,0.9634278151156149,4.6365153959110924e-4
ICAM1,sICAM-1,17.168910782952484,0.0011955632230075395,-0.02566275644933068,0.9637330551395156,-0.0014969599932087851
CTNNA2,CTNA2,17.188507469079134,0.0011956829806425442,-0.0032033025557357733,0.9889168739673031,-1.8639778060930323e-4
GALNT16,GLTL1,17.55513764045264,7.579396896706298e-4,0.0045951877200247,0.9938844966074136,2.616889314313613e-4
MIA,MIA,15.554774613523,NA,0.9427686366670741,NA,0.057146001824011715
C3,C3,17.29721466567953,NA,-0.14504160106451594,NA,-0.008456164738900472
CD63,CD63,17.471478909202077,NA,-0.24616044116633123,NA,-0.014290617710384873
