gene,target,beta,se,ci_lower,ci_upper,p_value
ZNF23,ZNF23,0.02767802181124132,0.012766551359327522,0.002560142774806696,0.05279590084767595,0.030901597050638486
KRT72,Keratin 72,0.02809162182917285,0.019102108054268187,-0.009491310784610605,0.0656745544429563,0.14239032880012234
KLRC3,NKG2E,-0.06560791718045703,0.02277933143197769,-0.11042569727901355,-0.020790137081900507,0.004245494725667954
SRSF6,SRSF6,0.012233251219288597,0.018385795651755743,-0.023940354179008437,0.04840685661758563,0.5063013525189376
NRSN1,NRSN1,0.011728674054873807,0.017326372488028333,-0.022360542057239086,0.0458178901669867,0.49894649556201387
SLCO5A1,SO5A1,0.09166346768174798,0.013935506445814655,0.0642456979673225,0.11908123739617345,1.9721611932157006e-10
CRABP2,RABP2,-0.02056223637243326,0.032452000048796205,-0.08441075652274661,0.04328628377788009,0.5267857349608425
TRIB2,TRIB2,-0.010200912658915305,0.024136510108730132,-0.057688908767576215,0.03728708344974561,0.6728487620671361
PDLIM4,PDLI4,0.01869227306241991,0.008915814779484879,0.001150624512301704,0.03623392161253811,0.03682748603165418
C16orf54,CP054,0.028174997181599,0.007951372456030057,0.012530865426449631,0.04381912893674837,4.54379297550312e-4
RAB39B,RB39B,0.05750572684229087,0.022907978696174523,0.012434836382955242,0.1025766173016265,0.012560837629301552
KLHL13,KLH13,0.011785358457425262,0.0300713176892704,-0.04737922710102563,0.07094994401587615,0.6953853920529864
CLIC5,CLIC5,-0.013858563970357387,0.025891780493264537,-0.06480001183384627,0.0370828838931315,0.5928525824679513
ITPKC,IP3KC,0.03784914145671315,0.01948794276757587,-4.929115635251904e-4,0.0761911944769515,0.053000512352882376
GLTP,GLTP,0.025422450698197454,0.017097526525605082,-0.008216516553409815,0.059061417949804726,0.13803302089576122
CKS1B,CKS-1,0.038154030007145075,0.03334519413867507,-0.027451827772898972,0.10375988778718911,0.25339824069356004
ERVV-1,ERVV1,-0.016125822631246997,0.015284704911551924,-0.04619810748485858,0.013946462222364585,0.29221501660534555
CDC34,UB2R1,0.01707841663149445,0.011231221838532495,-0.0050187389457249515,0.03917557220871385,0.12935210592925506
CYTH2,CYH2,-0.11451985246727615,0.04439091835715611,-0.20185790377246632,-0.027181801162085975,0.010335581226282439
CALCOCO2,CACO2,0.13820960108737232,0.03586915634463491,0.06763790910532094,0.2087812930694237,1.411398252098119e-4
ZNF560,ZN560,0.01567315808484858,0.008189443009789627,-4.393716897158721e-4,0.031785687859413034,0.056542889385805505
VRK1,VRK1,-0.013437720768798806,0.025345823003687935,-0.06330501056122795,0.03642956902363033,0.5963617897397663
KEAP1,KEAP1,-0.024562769146588292,0.012756117007480477,-0.04966011884975656,5.345805565799763e-4,0.055052641882854914
EDN2,Endothelin 2,-0.009527251920351632,0.012520662920173831,-0.034161351438161,0.015106847597457732,0.44726910107236784
FEN1,FLAP endonuclease-1,-0.010163788261215133,0.014816595172193374,-0.039315078597353184,0.018987502074922915,0.49323135109359695
ARF3,ARF3,-0.0032589487546167742,0.01074330613654143,-0.024396142064999363,0.017878244555765817,0.7618244846502809
IMPA2,IMPA2,0.003697725962355076,0.010417499443853354,-0.016798450610941276,0.02419390253565143,0.7228606021026585
NRBP1,NRBP,-0.08340818910417325,0.025727068890924822,-0.13402557089946404,-0.03279080730888244,0.0013130601474320525
AKR1C1,Aldo-keto reductase 1C1,0.0016401314237683578,0.020024744382835497,-0.03775806570768313,0.04103832855521984,0.9347737603628673
ASH1L,ASH1L,0.007965745467172027,0.01339297568708826,-0.01838460818572808,0.034316099120072135,0.5524212452582343
ATG7,ATG7,0.028335471125500018,0.010519748346450763,0.007638122325283235,0.0490328199257168,0.0074457943876844925
